Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos016,Uncompressed,10,1,506.231,255,255,255,84.188,0.898,129088.84,100,99960,1.13,0.885,0.931
Rep1,Pos016,Uncompressed,10,2,812.294,255,255,255,137.841,0.537,207134.899,100,160395,1.357,0.737,0.806
Rep1,Pos016,Uncompressed,10,3,550.139,255,255,255,91.948,0.818,140285.321,100,108630,1.457,0.686,0.914
Rep1,Pos016,Uncompressed,10,4,609.543,255,255,255,111.233,0.619,155433.501,100,120360,2.808,0.356,0.882
Rep1,Pos016,Uncompressed,10,5,541.099,255,255,255,88.734,0.864,137980.163,100,106845,1.295,0.772,0.933
Rep1,Pos016,Uncompressed,10,6,422.289,255,255,255,77.76,0.878,107683.803,100,83385,1.464,0.683,0.925
Rep1,Pos016,Uncompressed,15,1,388.713,255,255,255,80.308,0.757,99121.788,100,76755,2.188,0.457,0.909
Rep1,Pos016,Uncompressed,15,2,564.344,255,255,255,89.4,0.887,143907.712,100,111435,1.472,0.679,0.944
Rep1,Pos016,Uncompressed,15,3,569.51,255,255,255,108.961,0.603,145224.945,100,112455,1.103,0.906,0.8
Rep1,Pos016,Uncompressed,15,4,608.252,255,255,255,96.218,0.826,155104.193,100,120105,1.579,0.633,0.924
Rep1,Pos016,Uncompressed,15,5,606.96,255,255,255,96.884,0.813,154774.884,100,119850,1.168,0.856,0.92
Rep1,Pos016,Uncompressed,15,6,488.151,255,255,255,85.244,0.844,124478.524,100,96390,1.543,0.648,0.932
Rep1,Pos016,Uncompressed,15,7,706.399,255,255,255,122.322,0.593,180131.621,100,139485,2.163,0.462,0.801
Rep1,Pos016,Uncompressed,15,8,982.759,255,255,255,171.819,0.418,250603.59,100,194055,1.427,0.701,0.853
Rep1,Pos016,Uncompressed,20,1,573.384,255,255,255,89.789,0.894,146212.87,100,113220,1.21,0.827,0.944
Rep1,Pos016,Uncompressed,20,2,462.323,255,255,255,83.085,0.842,117892.359,100,91290,1.763,0.567,0.956
Rep1,Pos016,Uncompressed,20,3,702.524,255,255,255,120.163,0.611,179143.696,100,138720,1.653,0.605,0.808
Rep1,Pos016,Uncompressed,20,4,672.822,255,255,255,122.207,0.566,171569.606,100,132855,3.142,0.318,0.861
Rep1,Pos016,Uncompressed,20,5,561.761,255,255,255,89.124,0.889,143249.095,100,110925,1.328,0.753,0.94
